BackSpace 
Hangul_KiyeogSios ㄳ
Hangul_Nieun ㄴ
Hangul_NieunJieuj ㄵ
Hangul_NieunHieuh ㄶ
Hangul_Dikeud ㄷ
Hangul_SsangDikeud ㄸ
Hangul_Rieul ㄹ
Hangul_RieulKiyeog ㄺ
Hangul_RieulMieum ㄻ
Hangul_RieulPieub ㄼ
Hangul_RieulSios ㄽ
Hangul_RieulTieut ㄾ
Hangul_RieulPhieuf ㄿ
Hangul_RieulHieuh ㅀ
Hangul_Mieum ㅁ
Hangul_Pieub ㅂ
Hangul_SsangPieub ㅃ
Hangul_PieubSios ㅄ
Hangul_Sios ㅅ
Hangul_SsangSios ㅆ
Hangul_Ieung ㅇ
Hangul_Jieuj ㅈ
Hangul_SsangJieuj ㅉ
Hangul_Cieuc ㅊ
Hangul_Khieuq ㅋ
Hangul_Tieut ㅌ
Hangul_Phieuf ㅍ
Hangul_Hieuh ㅎ
Hangul_A ㅏ
Hangul_AE ㅐ
Hangul_YA ㅑ
Hangul_YAE ㅒ
Hangul_EO ㅓ
Hangul_E ㅔ
Hangul_YEO ㅕ
Hangul_YE ㅖ
Hangul_O ㅗ
Hangul_WA ㅘ
Hangul_WAE ㅙ
Hangul_OE ㅚ
Hangul_YO ㅛ
Hangul_U ㅜ
Hangul_WEO ㅝ
Hangul_WE ㅞ
Hangul_WI ㅟ
Hangul_YU ㅠ
Hangul_EU ㅡ
Hangul_YI ㅢ
Hangul_I ㅣ
Hangul_J_Kiyeog ᆨ
Hangul_J_SsangKiyeog ᆩ
Hangul_J_KiyeogSios ᆪ
Hangul_J_Nieun ᆫ
Hangul_J_NieunJieuj ᆬ
Hangul_J_NieunHieuh ᆭ
Hangul_J_Dikeud ᆮ
Hangul_J_Rieul ᆯ
Hangul_J_RieulKiyeog ᆰ
Hangul_J_RieulMieum ᆱ
Hangul_J_RieulPieub ᆲ
Hangul_J_RieulSios ᆳ
Hangul_J_RieulTieut ᆴ
Hangul_J_RieulPhieuf ᆵ
Hangul_J_RieulHieuh ᆶ
Hangul_J_Mieum ᆷ
Hangul_J_Pieub ᆸ
Hangul_J_PieubSios ᆹ
Hangul_J_Sios ᆺ
Hangul_J_SsangSios ᆻ
Hangul_J_Ieung ᆼ
Hangul_J_Jieuj ᆽ
Hangul_J_Cieuc ᆾ
Hangul_J_Khieuq ᆿ
Hangul_J_Tieut ᇀ
Hangul_J_Phieuf ᇁ
Hangul_J_Hieuh ᇂ
Hangul_RieulYeorinHieuh ㅭ
Hangul_SunkyeongeumMieum ㅱ
Hangul_SunkyeongeumPieub ㅸ
Hangul_PanSios ㅿ
Hangul_KkogjiDalrinIeung ㆁ
Hangul_SunkyeongeumPhieuf ㆄ
Hangul_YeorinHieuh ㆆ
Hangul_AraeA ㆍ
Hangul_AraeAE ㆎ
Hangul_J_PanSios ᇫ
Hangul_J_KkogjiDalrinIeung ᇰ
Hangul_J_YeorinHieuh ᇹ
Korean_Won ₩
Armenian_ligature_ew և
Armenian_full_stop ։
Armenian_separation_mark ՝
Armenian_hyphen ֊
Armenian_exclam ՜
Armenian_accent ՛
Armenian_question ՞
Armenian_AYB Ա
Armenian_ayb ա
